Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710962281.4051483,17336,1710962281,402486535,crazy08/base_link,45069.0,41109.0,42331.0,45703.0
1710962281.4137826,17337,1710962281,411129505,crazy08/base_link,45310.0,40604.0,42520.0,45778.0
1710962281.4228106,17338,1710962281,420185942,crazy08/base_link,45715.0,41605.0,40969.0,44803.0
1710962281.432746,17339,1710962281,430070597,crazy08/base_link,47023.0,40889.0,39805.0,45375.0
1710962281.4435208,17340,1710962281,440878601,crazy08/base_link,47689.0,42843.0,39153.0,43955.0
1710962281.4524581,17341,1710962281,449780925,crazy08/base_link,47365.0,43875.0,39991.0,42409.0
1710962281.4638922,17342,1710962281,461185257,crazy08/base_link,47219.0,43825.0,39707.0,42889.0
1710962281.4837687,17343,1710962281,481056076,crazy08/base_link,46656.0,44438.0,41038.0,42764.0
1710962281.4921815,17344,1710962281,489480789,crazy08/base_link,46072.0,45968.0,42114.0,40742.0
1710962281.5039368,17345,1710962281,501239781,crazy08/base_link,45733.0,43641.0,41099.0,42855.0
1710962281.5129,17346,1710962281,510226172,crazy08/base_link,44764.0,44374.0,42320.0,41870.0
1710962281.5232217,17347,1710962281,520576020,crazy08/base_link,44091.0,43497.0,42767.0,42973.0
1710962281.5333724,17348,1710962281,530679199,crazy08/base_link,43042.0,42014.0,44768.0,44100.0
1710962281.5421033,17349,1710962281,539446648,crazy08/base_link,43442.0,42222.0,44002.0,44258.0
1710962281.5531557,17350,1710962281,550448478,crazy08/base_link,44542.0,43368.0,43830.0,41872.0
1710962281.5628493,17351,1710962281,560225526,crazy08/base_link,46253.0,43251.0,41439.0,42669.0
1710962281.5728579,17352,1710962281,570209499,crazy08/base_link,45809.0,44079.0,42883.0,41017.0
1710962281.581799,17353,1710962281,579237417,crazy08/base_link,47619.0,44689.0,40331.0,41149.0
1710962281.5934505,17354,1710962281,590832415,crazy08/base_link,48589.0,44955.0,40685.0,39171.0
1710962281.6042747,17355,1710962281,601613707,crazy08/base_link,48584.0,47366.0,39966.0,37976.0
1710962281.6113648,17356,1710962281,608701777,crazy08/base_link,49723.0,44353.0,40303.0,39513.0
1710962281.6230917,17357,1710962281,620516979,crazy08/base_link,47827.0,44499.0,42117.0,40565.0
1710962281.6318984,17358,1710962281,629304492,crazy08/base_link,49701.0,41887.0,40861.0,40459.0
1710962281.6427944,17359,1710962281,640149149,crazy08/base_link,47619.0,42099.0,41677.0,41673.0
