Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710963008.8596933,88509,1710963008,859152559,crazy08/base_link,45424.0,37900.0,46220.0,37408.0
1710963008.8704014,88510,1710963008,869897456,crazy08/base_link,45445.0,37219.0,44951.0,38589.0
1710963008.879502,88511,1710963008,878923876,crazy08/base_link,45505.0,37515.0,45957.0,37227.0
1710963008.8901258,88512,1710963008,889505935,crazy08/base_link,45163.0,38119.0,45903.0,38327.0
1710963008.8997674,88513,1710963008,899203549,crazy08/base_link,45826.0,38086.0,46160.0,37440.0
1710963008.9096332,88514,1710963008,909095429,crazy08/base_link,45954.0,37964.0,44968.0,38194.0
1710963008.9196262,88515,1710963008,919038694,crazy08/base_link,46775.0,37785.0,44873.0,37647.0
1710963008.9296072,88516,1710963008,929098793,crazy08/base_link,46865.0,37581.0,43771.0,37667.0
1710963008.939881,88517,1710963008,939306696,crazy08/base_link,46828.0,37626.0,44534.0,36896.0
1710963008.950224,88518,1710963008,949641114,crazy08/base_link,46185.0,37181.0,45481.0,38897.0
1710963008.960658,88519,1710963008,959991197,crazy08/base_link,46380.0,37318.0,46216.0,37830.0
1710963008.9695566,88520,1710963008,969029186,crazy08/base_link,45277.0,37409.0,45943.0,38043.0
1710963008.9799025,88521,1710963008,979399262,crazy08/base_link,44972.0,37080.0,47008.0,37612.0
1710963008.9909027,88522,1710963008,990277690,crazy08/base_link,44926.0,36584.0,46034.0,38528.0
1710963008.999617,88523,1710963008,998989009,crazy08/base_link,44750.0,36944.0,46500.0,37878.0
1710963009.0105581,88524,1710963009,9931430,crazy08/base_link,45183.0,37279.0,46229.0,38457.0
1710963009.0197024,88525,1710963009,18989436,crazy08/base_link,45647.0,38321.0,46167.0,37601.0
1710963009.0297859,88526,1710963009,29244914,crazy08/base_link,45847.0,38597.0,45641.0,37651.0
1710963009.039823,88527,1710963009,39227438,crazy08/base_link,47011.0,38099.0,44171.0,37963.0
1710963009.0499232,88528,1710963009,49300979,crazy08/base_link,46718.0,38082.0,44284.0,37772.0
1710963009.0602298,88529,1710963009,59209584,crazy08/base_link,47473.0,38673.0,43581.0,37129.0
1710963009.0695593,88530,1710963009,69017407,crazy08/base_link,46888.0,39128.0,44266.0,36910.0
1710963009.0809283,88531,1710963009,80358061,crazy08/base_link,46898.0,40200.0,44126.0,36064.0
1710963009.0901315,88532,1710963009,89550502,crazy08/base_link,46720.0,39684.0,44256.0,36264.0
1710963009.0996592,88533,1710963009,99063563,crazy08/base_link,46330.0,38882.0,44300.0,37412.0
1710963009.1096127,88534,1710963009,109045184,crazy08/base_link,45314.0,38152.0,44890.0,37480.0
1710963009.1196506,88535,1710963009,119037490,crazy08/base_link,45391.0,38793.0,45137.0,37455.0
1710963009.1294565,88536,1710963009,128780558,crazy08/base_link,44567.0,38019.0,46105.0,38277.0
1710963009.140551,88537,1710963009,139953011,crazy08/base_link,43801.0,37355.0,46501.0,39291.0
1710963009.1525385,88538,1710963009,151926937,crazy08/base_link,44780.0,36810.0,45808.0,39550.0
1710963009.1597397,88539,1710963009,159162735,crazy08/base_link,44883.0,37045.0,45491.0,39401.0
1710963009.1708796,88540,1710963009,170295299,crazy08/base_link,45092.0,38028.0,45874.0,38570.0
1710963009.178871,88541,1710963009,178337573,crazy08/base_link,46384.0,37944.0,44376.0,38860.0
1710963009.1896305,88542,1710963009,189063759,crazy08/base_link,46999.0,38527.0,43273.0,37333.0
1710963009.2022426,88543,1710963009,201591693,crazy08/base_link,47181.0,38637.0,42675.0,37639.0
1710963009.2089002,88544,1710963009,208327072,crazy08/base_link,47066.0,39334.0,43308.0,37360.0
1710963009.2197077,88545,1710963009,219150563,crazy08/base_link,47496.0,38858.0,42692.0,38022.0
1710963009.230496,88546,1710963009,229880275,crazy08/base_link,46583.0,39693.0,44339.0,37093.0
1710963009.24042,88547,1710963009,239514755,crazy08/base_link,45745.0,39797.0,44685.0,37265.0
1710963009.2495425,88548,1710963009,248809573,crazy08/base_link,45704.0,38588.0,44906.0,38294.0
1710963009.2608087,88549,1710963009,259818921,crazy08/base_link,44899.0,37873.0,44577.0,38091.0
1710963009.2693443,88550,1710963009,268551444,crazy08/base_link,44772.0,39140.0,45376.0,36932.0
1710963009.280753,88551,1710963009,279906477,crazy08/base_link,43970.0,39620.0,45950.0,37712.0
1710963009.2891753,88552,1710963009,288416969,crazy08/base_link,44089.0,38435.0,46419.0,38309.0
1710963009.3003802,88553,1710963009,299165864,crazy08/base_link,44201.0,38653.0,45923.0,38623.0
1710963009.3094451,88554,1710963009,308635563,crazy08/base_link,45306.0,39252.0,45378.0,37796.0
1710963009.320128,88555,1710963009,319254072,crazy08/base_link,45477.0,39795.0,44849.0,37815.0
1710963009.3398921,88556,1710963009,339170991,crazy08/base_link,46198.0,38910.0,43468.0,37800.0
1710963009.3502426,88557,1710963009,349508321,crazy08/base_link,45973.0,38443.0,43939.0,37829.0
1710963009.3606925,88558,1710963009,359870403,crazy08/base_link,47168.0,38886.0,42240.0,37890.0
1710963009.3695397,88559,1710963009,368774608,crazy08/base_link,46598.0,38534.0,43870.0,38058.0
1710963009.3801084,88560,1710963009,379497097,crazy08/base_link,46320.0,39608.0,44044.0,37716.0
1710963009.3890967,88561,1710963009,388355427,crazy08/base_link,45386.0,39124.0,45422.0,37488.0
1710963009.3995113,88562,1710963009,398923020,crazy08/base_link,44941.0,38823.0,45115.0,38541.0
1710963009.4099176,88563,1710963009,409340381,crazy08/base_link,45518.0,37918.0,44880.0,38940.0
1710963009.4196732,88564,1710963009,419109003,crazy08/base_link,44727.0,39345.0,44813.0,38115.0
